"V1";"V3";"V4";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V108";"V109";"V110";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V158";"V159";"V160";"V161";"V162";"V163";"V164";"V165";"V166";"V167";"V168";"V169";"V170";"V171";"V172";"V173";"V174";"V175";"V176";"V177";"V178";"V179";"V180";"V181";"V182";"V183";"V184";"V185";"V186";"V187";"V188";"V189";"V190";"V191";"V192";"V193";"V194";"V195";"V196";"V197";"V198";"V199";"V200";"V201";"V202";"V203";"V204";"V205";"V206";"V207";"V208";"V209";"V210";"V211";"V212";"V213";"V214";"V215";"V216";"V217";"V218";"V219";"V220";"V221";"V222";"V223";"V224";"V225";"V226";"V227";"V228";"V229";"V230";"V231";"V232";"V233";"V234";"V235";"V236";"V237";"V238";"V239";"V240";"V241";"V242";"V243";"V244";"V245";"V246";"V247";"V248";"V249";"V250";"V251";"V252";"V253";"V254";"V255";"V256";"V257";"V258";"V259";"V260";"V261";"V262";"V263";"V264";"V265";"V266";"V267";"V268";"V269";"V270";"V271";"V272";"V273";"V274";"V275";"V276";"V277";"V278";"V279";"V280";"V281";"V282";"V283";"V284";"V285";"V286";"V287";"V288";"V289";"V290";"V291";"V292";"V293";"V294";"V295";"V296";"V297";"V298";"V299";"V300";"V301";"V302";"V303";"V304";"V305";"V306";"V307";"V308";"V309";"V310";"V311";"V312";"V315";"V318";"V319";"V322";"V325";"V326";"V327";"V328";"V329";"V330";"V331";"V332";"V333";"V334";"V335";"V336";"V337";"V338";"V339";"V340";"V341";"V342";"V343";"V344";"V345";"V346";"V347";"V348";"V349";"V350";"V351";"V352";"V353";"V354";"V355";"V356";"V357";"V358";"V359";"V360";"V361";"V362";"V363";"V364";"V365";"V366";"V368";"V370";"V373";"V374";"V375";"V376";"V377";"V378";"V379";"V380";"V381";"V383";"V384";"V385";"V387";"V389";"V392";"V393";"V394";"V395";"V396";"V397";"V398";"V399";"V400";"V401";"V402";"V403";"V404";"V405";"V406";"V407";"V408";"V409";"V411";"V414";"V415";"V416";"V417";"V418";"V419";"V421";"V424";"V425";"V426";"V427";"V428";"V429";"V430";"V431";"V432";"V433";"V434";"V435";"V436";"V437";"V438";"V439";"V440";"V441";"V442";"V443";"V444";"V445";"V446";"V447";"V448"
21432;5864;0;2;1;1;1;2;4;2;2;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;;5;5;5;;;;;5;;1;;;;;;;;;;;;;;;;;;;1;10;4;5;9;3;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;8;9;3;3;4;2;4;5;2;2;2;2;2;2;2;3;1;2;5;;;7;7;5;5;5;3;5;5;5;5;5;5;5;5;5;5;4;1;4;3;1;5;5;7;1;5;1;1;2;2;2;1;3;1;1;1;3;1;2;2;8;2;1;3;3;5;1;4;1;5;1;4;4;4;1;8;1;1;2;8;2;0;1;0;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;2;2;8;2;5;3;2;5;8;4;2;2;4;3;2;3;3;2;4;2;3;2;2;2;3;2;3;2;2;8;2;2;4;4;1;4;4;4;1;1;4;4;4;1;1;1;2;1;2;1;10;4;10;7;2;2;5;1;6;1;1;10;1;1;3;2;1;2;3;3;3;5;2;10;1;4;;3;1;5;8;2;3;3;8;4;3;2;1;3;1;2;1;1;4;1;3;3;3;3;3;4;4;4;4;4;1;3;2;1;3;4;3;4;5;;5;1;5;1;1963;1;1;;1;1;1;1;1;;;;1;;1;1;1;1;2002;1;1;1;2;5;;5;;5;;5;;2;5;;5;1000;5;;5;;1;42;1;36;21;15;1;3;1;;2;;1;5;;14;1;1;1;;16;3;1;;2;10000;1;5;;14;1;5;1;5;5;1;5;500000;950000;1;4;0;3;;;;;2;2;1;2;;5;;1;1;1;4;4;4;2;4;5200;7080;3;1;3;11;3;3;45;3;7;2;4
21432;5864;0;3;2;1;1;2;1;1;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;10;6;6;10;8;8;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;5;;;1;4;1;1;1;5;1;2;1;3;1;1;2;3;1;2;5;;;3;3;1;1;1;1;1;1;8;1;1;1;1;1;1;5;1;1;4;2;7;1;1;1;1;5;1;1;1;2;1;1;3;1;2;2;2;1;1;1;1;2;5;1;5;5;4;1;5;4;3;2;4;4;1;1;4;1;1;1;2;1;1;0;1;0;1;0;0;1;0;0;0;2;2;1;3;2;2;3;3;1;6;5;8;5;5;10;5;3;1;4;2;1;1;3;2;8;1;1;1;1;1;8;8;8;1;1;2;8;2;1;3;10;1;3;4;1;1;2;1;1;1;1;1;1;1;1;1;88;1;1;1;1;1;10;1;1;1;1;1;1;1;1;3;1;2;6;6;6;6;6;8;1;1;;3;2;7;5;5;4;4;5;5;2;1;1;2;1;2;1;2;2;3;3;3;2;3;2;1;2;2;2;2;1;8;1;3;2;2;1;1;1;1;5;1;2;1;1929;1;1;;1;1;3;5;2;5;5;1;;;;;;1;1957;5;;5;;5;;5;;5;;5;;2;1;33;5;1000;5;;5;;1;60;1;64;14;2;5;;5;1;2;;1;1;3;90;2;2;;;;;;;;10000;;;;;;5;2;;5;2;;240000;340000;1;2;5;3;;;;;2;2;1;2;;1;2;1;4;2;4;3;2;1;4;7100;7100;6;1;3;11;4;2;79;6;4;2;1
21432;5864;0;1;1;1;1;3;3;3;2;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;;5;;5;;;;5;;;;;;;;;;;;;;;;;;;;;;1;10;8;9;10;1;4;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;8;6;1;4;1;2;1;5;2;2;2;2;3;2;2;3;1;2;5;;;7;4;1;1;1;1;5;5;8;5;1;1;5;1;5;1;2;5;2;3;3;5;5;7;3;4;1;2;2;2;3;1;3;1;2;2;3;2;2;1;1;2;1;3;4;8;1;3;2;4;1;4;3;3;1;1;1;1;1;1;2;1;1;0;1;0;1;0;0;0;1;0;0;1;1;3;1;3;3;3;3;3;5;5;3;5;7;2;3;2;1;4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;1;4;1;1;3;3;3;1;1;1;1;1;1;1;5;6;8;6;1;5;1;1;5;7;4;8;3;1;2;3;1;1;3;3;5;3;4;9;1;4;;3;2;9;3;2;3;3;8;4;2;1;1;2;1;1;2;1;4;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;1;3;3;2;5;1961;1;1;;1;1;1;1;1;;;;5;;;;;1;1992;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;5;;1;31;5;;22;11;5;;2;;2;;1;5;;12;1;1;1;;6;0;1;;2;10000;1;5;;30;1;5;1;5;5;1;5;300000;500000;1;2;2;1;2;;5;;88;2;1;2;;5;;4;4;1;4;2;4;1;4;8766;7160;2;1;4;11;2;2;47;3;7;2;4
21432;5864;0;1;1;1;1;1;1;1;1;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;5;;;5;;;;;;;;;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;10;4;10;9;2;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;5;;;1;3;1;2;2;4;1;2;2;1;1;1;2;2;1;2;5;;;3;4;1;1;1;1;1;1;1;5;1;5;5;5;5;5;2;4;2;1;4;1;1;1;1;3;2;1;3;1;1;2;3;1;1;2;1;1;2;2;1;2;1;2;4;4;2;4;2;2;2;3;3;3;2;2;2;2;2;1;2;1;1;0;1;0;1;0;1;0;0;0;0;1;1;2;3;3;3;3;3;1;8;1;1;1;2;10;4;2;4;1;1;1;1;1;3;3;3;2;2;3;2;2;2;2;2;2;2;1;3;2;2;8;3;3;4;1;2;3;8;8;1;2;1;1;1;2;1;10;9;4;10;3;5;4;1;8;1;3;10;2;1;1;3;1;1;10;1;3;4;5;10;1;7;;3;2;10;2;1;1;1;5;4;3;1;1;1;1;1;1;2;2;2;3;4;1;4;2;1;2;3;2;2;8;2;2;3;8;3;8;3;3;2;3;3;3;5;1939;1;1;;1;1;6;;;5;5;2;;5;;;;1;1969;5;;5;;5;;5;;5;;5;;2;5;;5;1000;5;;5;;1;34;1;66;15;13;1;2;5;1;2;;1;5;;65;1;2;;;;;;;;10000;;;;;;5;2;;5;2;;96000;180000;1;2;0;1;2;;5;;13;2;2;1;2;;;4;4;1;1;1;4;1;3;8462;8000;7;1;4;10;5;2;69;5;5;2;1
21432;5864;0;2;1;1;1;2;2;1;2;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;;5;;5;;;;5;;;;;;;;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;8;7;8;9;3;4;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;8;4;3;3;2;4;4;2;2;2;3;3;8;2;2;1;2;5;;;5;5;1;1;1;1;8;5;1;5;1;8;5;8;8;5;1;5;2;3;10;1;1;1;1;5;2;1;3;2;2;2;2;1;1;2;3;1;1;2;1;2;1;2;3;8;1;4;1;4;1;4;4;4;1;1;1;1;2;2;2;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;3;2;2;3;1;2;8;5;5;7;3;8;2;4;2;1;2;2;8;8;3;1;3;1;3;3;4;3;3;2;2;3;2;2;2;2;2;4;4;4;1;1;3;3;3;1;1;1;2;1;1;1;10;10;10;10;8;8;5;1;5;1;2;8;5;1;1;2;1;3;3;8;5;5;4;8;1;4;;2;2;8;8;3;3;4;5;4;4;3;1;3;2;2;1;1;4;1;3;3;2;2;2;2;2;2;2;2;2;8;2;2;4;3;8;1;1;1;4;3;3;5;1963;1;1;;1;1;6;;;1;;2;;5;;;;1;2003;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;1;18;1;39;5;;35;14;1;9;1;;2;;1;5;;300;1;1;5;"NA";3;6;1;;2;10000;1;5;;30;1;5;1;5;5;1;5;300000;420000;1;2;0;3;;;;;10;5;2;1;2;;;1;2;2;4;2;1;1;4;9990;8200;7;1;4;10;5;3;45;3;7;2;3
21432;5864;0;2;1;1;2;4;3;2;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;;1;5;;;;;5;;;;;;;;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;7;4;7;10;1;3;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;4;3;3;4;3;2;4;4;1;2;2;3;3;2;2;3;1;2;5;;;4;4;1;5;5;2;5;5;5;5;5;8;5;5;5;5;3;1;3;3;1;5;1;5;1;5;1;1;2;2;2;2;3;1;2;2;2;2;2;1;1;2;1;2;1;1;1;3;1;3;2;3;4;4;1;1;1;1;2;2;2;1;1;0;1;1;1;0;0;0;0;0;0;1;1;3;1;2;2;2;3;1;5;5;3;7;5;7;5;2;4;2;1;3;3;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;4;4;1;1;3;4;3;1;1;1;1;1;1;1;10;10;10;10;10;4;5;2;10;1;1;10;1;1;2;1;1;2;8;4;8;9;10;5;1;4;;2;2;10;7;4;7;3;5;4;4;2;1;2;1;2;3;1;4;1;2;2;2;2;2;2;2;2;2;2;3;2;8;8;8;4;4;3;2;2;2;3;3;5;1965;1;1;;1;1;1;1;1;;;;1;;5;;1;1;2007;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;5;;5;;5;;30;15;1;9;1;;2;;1;5;;6;2;1;1;;14;9;1;;2;10000;1;5;;2;4;5;1;1;5;1;5;240000;300000;1;14;9;3;;;;;3;0;2;1;2;;;2;4;3;4;3;4;2;2;7860;8210;88;1;4;10;88;3;43;3;8;2;2
21432;5864;0;1;1;1;1;3;3;2;1;2;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;;5;5;5;;;;;;;5;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;10;8;8;8;4;3;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;8;10;1;2;2;1;4;4;2;1;2;2;1;1;2;2;1;2;5;;;5;7;5;5;5;1;1;1;1;5;1;5;5;5;5;5;2;4;3;3;6;5;5;7;1;5;1;1;3;2;2;3;3;1;2;1;2;1;1;2;2;2;1;2;2;4;1;5;1;3;1;4;4;2;1;2;1;1;1;2;2;1;1;0;0;0;1;0;0;1;1;0;0;1;1;2;1;3;2;2;3;2;5;7;7;7;7;8;8;2;4;1;1;1;2;2;2;3;3;2;1;1;1;2;2;2;1;1;2;3;3;2;2;7;2;3;4;1;2;3;3;3;1;1;1;1;1;1;1;10;7;10;7;5;4;1;1;1;4;1;10;1;3;4;3;1;1;5;7;3;4;3;7;1;7;;3;2;9;8;3;1;3;5;5;2;4;1;4;1;3;1;1;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;3;4;1;1;2;2;5;2;4;5;1950;1;1;;1;1;1;1;1;;;;5;;;;;1;1972;1;1;5;;5;;5;;5;;5;;2;5;;5;1000;5;;1;32;1;48;1;46;20;13;1;3;1;;2;;1;5;;15;2;1;1;;3;6;1;;2;10000;1;5;;400;2;5;1;5;5;1;5;350000;600000;1;13;0;3;;;;;2;0;2;1;1;;;1;4;3;2;4;4;1;2;8260;8210;88;1;4;10;88;2;58;4;6;2;3
21432;5864;0;2;1;2;2;2;4;2;2;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;;5;;5;;;;;;;1;;;;;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;7;6;9;7;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;9;4;2;2;2;2;3;4;2;3;2;2;1;2;2;3;1;2;5;;;5;6;1;1;1;2;5;5;1;5;1;1;1;1;1;5;2;4;3;4;3;1;1;4;4;5;4;1;3;3;3;2;3;2;2;2;2;1;1;2;1;2;1;2;4;2;2;4;1;3;2;4;3;2;3;3;2;2;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;2;1;1;3;1;4;4;8;2;4;7;5;2;4;1;3;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;3;2;6;4;3;4;1;1;3;4;3;3;5;1;4;2;1;1;10;10;10;5;1;4;1;3;6;7;5;9;1;1;1;2;1;1;8;8;6;10;10;4;1;1;;3;2;8;8;4;6;6;7;3;3;4;1;3;1;3;1;2;3;1;4;4;3;4;4;2;2;2;2;2;3;3;3;2;3;2;2;2;4;3;2;4;2;1;1977;1;1;;1;1;6;;;1;;2;;5;;;;1;2005;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;1;8;5;;5;;19;14;1;3;1;;2;;1;1;;1200;1;1;1;;12;6;1;;2;10000;1;5;;12;1;1;1;5;5;1;5;300000;450000;1;10;7;1;2;;1;4;10;4;1;2;;5;;2;1;1;3;2;2;1;3;8300;8220;88;1;4;10;88;2;31;2;9;2;3
21432;5864;0;2;1;1;1;2;3;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;;;;;;;;5;5;;5;;;;;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;7;5;8;9;2;4;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;5;3;2;4;2;1;4;5;2;2;2;2;2;2;2;2;1;2;5;;;6;6;5;5;1;2;1;8;1;5;5;8;5;5;5;5;3;4;2;3;2;5;5;7;1;5;1;1;3;3;2;2;3;1;2;2;1;1;1;2;1;2;5;1;2;2;1;5;1;3;1;4;4;2;1;2;1;1;2;1;2;1;1;0;1;1;1;0;0;0;0;0;0;1;1;2;2;2;2;2;3;1;6;3;3;3;7;7;3;2;1;4;1;1;2;2;2;2;2;2;1;2;1;2;1;1;2;1;2;2;2;2;1;8;4;2;4;1;1;3;3;4;1;1;1;3;2;2;1;10;8;9;9;3;7;9;2;88;2;4;9;1;1;1;3;1;2;3;6;7;8;7;5;1;7;;3;2;8;7;3;4;7;8;5;4;3;1;3;1;2;1;2;4;1;3;3;3;3;3;3;3;3;3;3;2;1;1;2;3;3;2;2;8;2;4;2;4;1;1979;1;1;;1;1;1;1;1;;;;5;;;;;1;2006;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;1;12;5;;5;;5;;19;15;2;10;1;;2;;1;5;;10;1;1;1;;15;9;7;1;2;10000;1;5;;88888;1;5;1;5;5;1;5;8888888;8888888;2;4;3;1;2;;5;;4;2;1;2;;5;;1;4;2;2;;;;4;8250;8250;3;2;4;10;3;2;29;1;9;2;4
21432;5864;0;2;1;1;1;2;3;2;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;5;;5;;;;;;;;;;;;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;9;9;9;9;5;3;1;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;10;5;4;4;2;4;4;4;2;2;2;2;2;1;2;2;1;2;5;;;7;7;1;5;1;1;5;5;5;5;5;5;5;5;5;5;3;3;3;3;2;5;1;6;1;5;2;1;2;2;3;2;3;1;2;1;3;1;1;2;1;2;1;2;4;2;2;4;2;4;2;3;3;3;2;2;1;2;1;1;2;0;1;0;0;1;1;0;1;0;1;0;0;1;1;1;1;2;2;2;3;3;4;8;8;5;8;6;6;2;2;4;1;1;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;3;3;2;4;3;8;4;1;1;3;3;3;3;4;1;9;2;2;1;10;10;10;8;3;6;8;5;3;4;3;7;1;1;1;3;1;8;5;8;7;5;7;6;1;88;;3;2;10;10;7;10;10;6;5;4;3;2;3;2;3;1;2;4;2;3;3;3;3;2;3;3;3;3;3;2;2;2;2;3;3;8;2;2;2;4;2;4;5;1961;1;1;;1;1;1;1;1;;;;1;;5;;1;1;1998;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;1;17;1;30;1;45;5;;20;15;1;4;1;;2;;1;5;;65;2;1;1;;6;2;1;;2;10000;1;1;1;15;1;5;1;5;5;1;5;400000;600000;1;13;9;3;;;;;14;10;1;2;;1;4;1;2;1;4;3;4;1;4;8330;8361;7;1;4;10;5;3;47;3;7;2;4
21432;5864;0;2;1;2;2;3;3;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;5;;;;;;;;;;;;;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;8;4;6;8;1;2;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;6;5;1;2;2;2;5;2;3;2;2;3;1;1;2;3;1;2;5;;;5;5;1;1;1;2;5;5;1;5;5;1;5;1;5;5;4;3;4;3;3;5;5;7;3;5;2;1;2;3;3;2;3;1;2;2;2;1;2;2;1;2;5;1;2;3;1;4;1;4;2;4;3;2;2;2;2;1;2;1;2;0;1;0;1;0;1;0;1;0;1;0;0;1;2;3;2;2;2;2;3;1;6;5;4;4;5;8;4;2;3;4;1;1;2;2;2;2;3;2;2;2;2;3;2;1;2;1;2;2;3;2;2;7;4;4;4;1;1;4;2;4;1;2;1;7;2;1;2;8;6;7;5;2;4;7;6;5;1;5;9;1;1;3;2;1;2;7;6;4;4;3;4;1;3;;3;2;7;7;3;3;5;7;5;4;3;1;3;1;2;2;1;4;1;3;3;2;3;2;2;3;3;2;2;2;1;1;2;3;3;2;2;5;4;4;2;4;1;1980;1;1;;1;1;1;1;1;;;;5;;;;;1;2007;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;5;;5;;5;;20;15;2;12;1;;2;;1;5;;80;1;1;1;;15;5;7;1;2;10000;1;5;;10;4;1;1;1;1;1;1;225000;450000;1;7;9;3;;;;;7;6;2;1;3;;;1;4;2;4;2;2;1;4;8732;8520;4;1;4;10;3;2;28;1;9;2;3
21432;5864;0;1;1;1;3;2;2;3;2;1;0;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;5;;5;5;;;;5;;1;1;;;1;;;;;;;;;;;;;;;;1;3;4;8;8;4;3;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;8;8;4;4;4;1;2;3;2;1;1;3;3;2;2;3;1;2;5;;;7;7;1;1;1;1;5;5;5;5;5;1;5;5;1;5;2;5;3;3;1;1;1;7;1;5;1;1;3;3;3;3;3;3;3;3;3;1;2;2;8;2;1;3;2;3;1;4;1;3;2;3;4;8;3;3;2;2;1;2;2;0;1;0;1;0;1;0;1;0;1;0;0;1;1;2;3;3;3;3;3;1;8;3;3;5;3;7;3;2;4;1;3;2;2;2;3;3;4;2;2;2;3;4;3;2;3;2;3;3;3;2;2;7;4;4;4;1;1;4;3;4;1;1;1;5;1;3;1;10;10;10;10;7;1;1;1;88;10;1;10;2;1;3;2;1;1;3;8;5;8;8;9;1;5;;2;2;10;8;4;3;8;8;5;4;4;1;3;2;4;1;2;5;1;3;3;3;3;3;3;3;3;1;3;2;1;1;1;3;4;1;1;2;1;5;4;2;1;1965;1;1;;1;1;1;1;1;;;;5;;;;;1;1998;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;1;38;5;;5;;15;4;1;2;1;;2;;1;5;;50;1;1;1;;15;9;2;;2;10000;1;5;;88888;4;1;1;5;5;1;5;8888888;600000;1;2;2;1;2;;5;;3;2;1;2;;1;2;2;4;2;2;2;4;1;2;9800;8541;4;1;4;10;3;2;43;3;8;2;4
21432;5864;0;2;1;2;1;2;4;1;2;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;5;;5;;;;;;;;;;;;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;3;5;8;9;4;2;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;5;;;1;2;1;1;2;5;2;2;3;4;3;1;2;2;1;2;5;;;4;4;5;5;1;2;5;5;5;5;5;5;5;5;5;5;4;1;4;4;1;5;5;7;1;5;1;2;3;3;3;2;3;3;2;2;2;1;2;1;1;2;1;2;5;5;1;5;1;5;3;3;2;3;1;2;3;2;1;1;2;1;1;0;1;0;1;0;0;0;1;0;0;1;1;2;1;3;2;1;3;3;5;7;10;8;4;5;4;2;1;4;1;1;4;3;1;2;2;2;3;3;3;3;2;2;2;3;2;3;3;3;2;4;4;1;4;2;1;3;2;3;1;1;1;1;1;1;1;5;10;10;10;1;4;10;1;10;10;10;10;10;1;1;2;1;1;5;5;3;3;5;3;1;1;;3;2;4;8;1;2;1;10;2;2;1;1;3;1;2;1;1;3;1;3;3;3;3;2;2;3;3;2;3;3;2;1;2;2;1;3;2;5;1;2;2;5;1;1947;1;1;;1;1;1;1;1;;;;1;;1;1;1;1;1973;1;1;5;;5;;5;;5;;5;;2;5;;5;1000;5;;1;30;1;;5;;16;4;1;2;5;1;2;;1;5;;5;1;1;1;;4;2;1;;2;10000;1;5;;120;1;1;1;5;5;1;5;300000;500000;1;2;0;3;;;;;13;2;1;2;;5;;3;4;2;4;4;3;2;2;8860;8600;6;1;4;10;4;2;61;5;6;2;2
21432;5864;0;2;1;2;2;3;4;2;2;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;;5;;5;;5;5;;;;5;;;;;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;8;7;7;7;4;3;1;1;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;5;7;4;4;2;2;4;4;2;2;3;2;3;2;2;2;1;2;5;;;4;4;5;5;5;2;5;5;5;5;5;5;5;5;5;5;4;1;3;3;2;5;5;7;1;4;1;2;3;3;3;3;3;2;2;2;2;1;1;2;1;2;1;2;2;2;2;4;1;3;2;3;3;3;2;2;2;2;1;2;2;0;1;0;1;1;1;0;0;0;1;0;0;1;1;3;1;1;1;2;3;2;3;5;4;3;5;4;6;2;1;4;1;3;3;3;2;3;3;2;2;2;2;2;3;2;2;2;2;1;3;3;2;3;4;3;4;1;1;4;4;4;1;1;1;3;3;4;1;10;8;8;5;4;3;3;3;1;3;3;10;1;1;3;2;1;2;9;10;9;10;10;4;1;1;;3;2;9;10;8;8;10;5;5;4;3;1;3;2;2;2;3;2;1;3;3;3;4;3;3;3;3;3;3;1;2;2;2;3;3;3;2;3;2;4;2;4;5;1966;1;1;;1;1;1;1;1;;;;5;;;;;1;2002;1;1;1;1;5;;5;;5;;5;;2;5;;5;1000;5;;1;38;5;;5;;19;15;1;10;1;;2;;1;5;;100;4;1;1;;14;10;1;;2;10000;1;1;2;33;2;1;1;5;5;1;5;450000;760000;1;13;0;1;2;;5;;4;10;2;1;4;;;2;3;2;4;3;2;2;4;6940;8600;1;1;4;10;1;2;42;3;8;2;2
21432;5864;0;1;1;2;1;2;3;1;2;4;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;;5;;5;;;;5;;;;;;;5;;;;;;;;;;;;;;;2;5;2;5;8;4;2;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;7;9;3;4;2;4;4;4;2;2;2;3;3;1;2;3;1;2;5;;;4;3;1;1;5;1;5;5;1;5;1;5;5;5;5;5;2;5;2;2;7;5;1;5;1;4;1;2;3;2;2;2;3;3;2;2;3;2;2;2;2;2;1;4;1;1;1;5;1;5;1;4;4;1;1;1;1;1;2;2;2;1;0;0;1;1;1;0;0;0;0;1;0;1;1;3;1;3;3;3;3;2;5;8;1;1;7;10;1;2;2;4;1;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;5;3;2;4;2;2;3;2;2;3;5;1;5;1;5;1;10;10;10;10;1;5;10;7;10;8;8;10;1;1;3;5;1;2;10;10;10;10;10;1;5;;;1;2;8;8;1;3;10;10;5;5;3;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;2;2;2;3;3;2;2;2;2;2;2;1;1956;1;1;;1;1;1;1;1;;;;5;;;;;1;1982;1;1;5;;5;;5;;5;;5;;2;5;;5;1000;5;;1;46;5;;1;;16;4;1;2;2;;2;;1;5;;3;2;1;1;;6;9;1;;2;10000;1;1;1;5;4;5;1;5;5;1;5;400000;600000;1;2;0;3;;;;;2;0;2;1;2;;;1;4;1;4;4;4;1;3;7441;8600;1;1;4;10;1;3;52;4;7;2;2
